team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
Bay FC,Jordan Brewster,JORDANBREWSTER,DEFENDER,1,,9,0,100,0,0,0,0,0,0,0,0,0,0,12,12,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Houston Dash,Belle Briede,BELLEBRIEDE,MIDFIELDER,7,1,161,0,81,0,2,1,0,1,1,2,0,0,0,56,69,3,0,1,55,25,0,0,0,0,50,1,50,0,1,100,2,4,,,
Angel City FC,Messiah Bright,MESSIAHBRIGHT,FORWARD,7,1,163,0,78,0,4,1,0,1,3,0,1,0,0,38,49,3,0,0,38,35,0,0,0,0,25,1,14,0,1,50,1,13,,,
Seattle Reign,Ryanne Brown,RYANNEBROWN,DEFENDER,5,,63,0,68,0,0,0,0,3,1,1,0,0,0,30,44,3,0,3,27,22,0,0,0,0,0,3,100,0,3,100,1,7,,,
Washington Spirit,Courtney Brown,COURTNEYBROWN,MIDFIELDER,10,1,241,0,80,0,1,0,0,5,2,3,0,0,0,64,80,3,0,1,62,42,0,0,0,0,0,2,33,0,5,45,5,5,,,
NJ/NY Gotham FC, Bruninha,BRUNINHA,DEFENDER,10,6,564,0,83,0,2,0,0,7,11,7,0,2,0,171,207,3,0,8,160,97,0,0,0,0,0,3,20,0,7,64,8,7,,,
Utah Royals FC,Zoe Burns,ZOEBURNS,DEFENDER,6,3,328,0,69,0,1,1,0,5,1,4,0,0,0,88,127,3,0,4,83,69,0,0,0,0,100,0,0,0,5,83,8,3,,,
Washington Spirit,Annaïg Butel,ANNAÏGBUTEL,DEFENDER,11,10,945,0,84,0,0,0,0,8,11,3,0,2,0,529,629,3,0,41,488,110,0,0,0,0,0,0,0,0,8,67,16,22,,,
Houston Dash,Jane Campbell,JANECAMPBELL,GOALKEEPER,11,11,990,0,74,0,0,0,0,0,0,1,0,0,0,291,391,3,0,87,204,104,0,0,0,0,0,0,0,0,0,0,0,1,57,48,11
Washington Spirit,Gabrielle Carle,GABRIELLECARLE,DEFENDER,11,11,962,0,74,1,2,0,1,19,7,6,1,0,0,338,459,3,0.09,23,310,206,0,0,0,0,0,6,43,1,19,56,13,16,,,
San Diego Wave FC,Kyra Carusa,KYRACARUSA,FORWARD,10,4,371,2,72,0,10,6,0,2,7,4,6,0,0,79,110,3,0,2,76,71,0.49,0,0,0,60,2,33,2,2,40,0,25,,,
Bay FC,Deyna Castellanos,DEYNACASTELLANOS,MIDFIELDER,11,8,686,2,75,1,21,9,1,9,6,11,0,1,0,211,280,3,0.13,8,201,145,0.26,0,0,0,43,8,57,3,9,75,2,14,,,
Orlando Pride, Celia,CELIA,DEFENDER,3,1,74,0,60,0,0,0,0,3,2,0,0,0,0,24,40,3,0,0,24,21,0,0,0,0,0,0,0,0,3,75,1,0,,,
Kansas City Current,Temwa Chawinga,TEMWACHAWINGA,FORWARD,10,9,814,5,69,4,28,19,4,13,8,7,3,0,0,147,212,3,0.44,3,142,165,0.55,0,0,0,68,14,33,9,13,57,4,16,,,
Racing Louisville FC,Emily Clegg,EMILYCLEGG,FORWARD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Utah Royals FC,Mikayla Cluff,MIKAYLACLUFF,MIDFIELDER,7,5,394,0,78,0,2,2,0,8,14,9,1,2,0,142,181,3,0,7,135,60,0,0,0,0,100,2,50,0,8,53,6,10,,,
Portland Thorns,Sam Coffey,SAMCOFFEY,MIDFIELDER,11,11,975,2,88,0,3,3,0,19,17,6,1,0,0,523,592,3,0,43,479,122,0.18,0,0,0,100,7,64,2,19,56,14,9,,,
San Diego Wave FC,Danielle Colaprico,DANIELLECOLAPRICO,MIDFIELDER,10,9,778,0,79,0,4,0,0,20,11,16,0,2,0,283,359,3,0,14,268,91,0,0,0,0,0,2,67,0,20,65,14,13,,,
Bay FC,Caroline Conti,CAROLINECONTI,FORWARD,2,1,89,0,60,0,0,0,0,0,0,1,1,0,0,18,30,3,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chicago Red Stars,Ava Cook,AVACOOK,FORWARD,3,,95,1,38,0,3,2,0,2,3,1,0,1,0,6,16,3,0,0,6,12,0.95,0,0,0,67,2,50,1,2,67,1,6,,,
